loan_member_id,ssn_last_4,borrower_name,home_address,city,state,postal_code,phone_number,loan_amount,loan_type,interest_rate,term_months,application_date
LN_547510,2233,Allen Gutierrez,026 Carey Springs Suite 584,West Jeremyland,OH,70156-5816,(+19) 864-5852,26464,AUTO,7.9,360,2010-10-02
LN_662192,8733,Miranda Stevens,6540 White Knolls Suite 075,Cynthiaville,WV,47325-7955,(001) 608-7632,65077,MORTGAGE,4.64,36,2022-11-26
LN_671651,6994,Jonathan Smith,319 Villa Causeway,Castrobury,WV,02479-7404,(739) 700-3432,74622,PERSONAL,4.97,60,2015-02-13
LN_466030,7181,Barbara Wilson,734 Natalie Canyon,East Diane,OH,55366-6711,(925) 397-2055,74630,MORTGAGE,5.26,60,2017-08-26
LN_878898,4944,Kevin Lopez,03630 Bennett Isle Suite 250,Austinland,WV,18873-3455,(852) .28-8.89,21604,PERSONAL,8.01,360,2012-02-01
LN_916304,5045,Chris Russell,601 Brown Groves Apt. 401,East Philipstad,OH,45349-2152,(964) .97-5.66,25022,AUTO,4.19,72,2017-02-03
LN_893920,7269,Theresa Sanders,32645 Stephanie Landing,Walkertown,PA,80689-7193,(001) 407-4406,67336,PERSONAL,5.69,72,2012-06-21
LN_603879,6850,Julie Y. Morris,085 Sandra Mountains Suite 911,New Eric,PA,18129-3557,(869) .56-4.93,59442,PERSONAL,5.45,72,2021-04-23
LN_859866,9384,Victoria T. Young,953 Walter Shore Apt. 644,New Stacyburgh,OH,82551-6964,(+14) 689-7056,31895,HELOC,8.08,48,2012-10-04
LN_709621,3739,Nicole Ramirez,9769 Blanchard Freeway,Hughesview,PA,72053-9501,(368) .69-9.69,28422,HELOC,7.84,72,2011-03-03
LN_889698,7554,Tina Silva,749 Jennifer Prairie,Jacksonfurt,PA,19870-6921,(+19) 302-9130,37124,PERSONAL,4.69,72,2017-10-08
LN_134431,6934,Daniel Buchanan,327 Fox Plaza,Port Christophermouth,PA,80590-9323,(406) 930-4165,22480,HELOC,4.17,360,2012-02-20
LN_871370,1810,Andrew H. Garcia,93970 Paul Light,New Garrett,OH,01079-6034,(915) .84-8.18,15015,MORTGAGE,4.92,72,2023-03-25
LN_225599,1805,Caleb B. Mitchell,47891 Thomas Ridges,Hernandezchester,PA,77588-8258,(+12) 992-4981,28779,AUTO,7.0,60,2021-08-28
LN_112268,8949,Jason Singh,62282 Michael Creek Apt. 073,Richardstad,WV,35258-3741,(+18) 504-0507,8498,AUTO,4.06,360,2011-12-23
